Sentence,Bad Prompt,Good Prompt,Notes
prevents inconsistency,"A row of monk figures in simple robes with shaved heads and peaceful expressions, each with matching brain wave indicators above their heads. Every person shows the same pattern. Simple cartoon style with clean lines.","A row of monk figures in maroon and saffron yellow robes with shaved heads and peaceful expressions, all seated in a classic meditation pose (cross-legged on the ground with hands resting on knees), each with matching brain wave indicators above their heads. Every person shows the same pattern. Simple cartoon style with clean lines.",prevents inconsistency
,Multiple monk figures in simple robes connected to a single large brain diagram in the center. All thoughts flow to and from the same source. Unity visualized. Simple cartoon style with clean lines.,"Multiple monk figures in maroon and saffron yellow robes, all seated in a classic meditation pose (cross-legged with hands resting on knees), connected to a single large brain diagram in the center. All thoughts flow to and from the same source. Unity visualized. Simple cartoon style with clean lines.",
,A monk figure in simple robes with shaved head and peaceful expression with the word 'FOCUS' crossed out. No effort to concentrate. The trying is absent. Simple cartoon style with clean lines.,"A monk figure in maroon and saffron yellow robes with a shaved head and peaceful expression, seated in a lotus meditation pose (cross-legged) with hands together in prayer at the chest. The word “FOCUS” appears above their head and is crossed out. No need for focus. The trying is absent. Simple cartoon style with clean lines.",
,A monk figure in simple robes with shaved head and peaceful expression with the word 'MOTIVATION' crossed out. No need for motivation. The trying is absent. Simple cartoon style with clean lines.,"A monk figure in maroon and saffron yellow robes with a shaved head and peaceful expression, seated in a classic meditation pose (cross-legged with hands resting on knees). The word “MOTIVATION” appears above their head and is crossed out. No need for motivation. The trying is absent. Simple cartoon style with clean lines.",
,"A timeline showing years of meditation practice by monk figures in simple robes. At the end, their nervous system diagram glows with transformation. Time changed their biology. Simple cartoon style with clean lines.","A minimalist illustration on a black background depicts four monk figures in maroon and saffron yellow robes sitting in a lotus meditation pose (cross-legged). They are arranged in a row, evenly spaced. The first three monks have shaved heads, closed eyes, and serene expressions, labeled ""1 YEAR,"" ""5 YEARS,"" and ""10 YEARS"" centered beneath each one. The fourth monk, labeled ""20 YEARS"" beneath, is in the same pose, but the head is transparent, revealing a detailed illustration of a brain and nervous system glowing with a soft white light. Clean simple lines, consistent character design across all four figures.",
,"A minimalist illustration on a black background depicts two figures connected by an arrow. On the left, a stylized human body is shown with its nervous system, including the brain and spinal cord, outlined in white. An arrow points from this figure to the right. On the right, another figure is seated in a meditative pose, with eyes closed and a serene smile. Three downward-pointing arrows are shown above its head, suggesting a calming or focusing effect. The overall style is simple line art, evoking a sense of connection between the nervous system and mental tranquility.","A minimalist illustration on a black background depicts two figures connected by an arrow. On the left, a stylized human body is shown as a simple outline, with the nervous system visible inside, including the brain and spinal cord, drawn in white line art. An arrow points from this figure to the right. On the right, a monk figure wearing maroon and saffron yellow robes sits in a lotus meditation pose (cross-legged) with eyes closed and a serene smile. Above the monk’s head, three downward-pointing arrows indicate calming and settling. Simple cartoon line art with clean lines.",
,An arrow from 'MOTIVATION' pointing toward 'REPETITION' with a large X crossing through the arrow. This direction is wrong. Simple cartoon style with clean lines.,"A minimalist graphic on a black background depicts a conceptual diagram. On the left, an oval shape contains the word ""MOTIVATION"" in white, outlined text. A line extends from this oval to a large ""X"" symbol, also in white outline. From the center of the ""X"", another line with an arrow points to the right, leading to a second oval containing the word ""REPETITION"" in white, outlined text. The overall aesthetic is simple and clean, with a focus on the symbolic representation of the relationship between motivation and repetition.",
,An arrow from 'REPETITION' pointing toward 'MOTIVATION' with a checkmark. This direction is correct. The flow is reversed. Simple cartoon style with clean lines,"A minimalist graphic on a black background depicts a conceptual diagram. On the left, an oval shape contains the word ""REPETITION"" in white, outlined text. A smooth line with an arrow extends from this oval, pointing to the right, leading to a second oval containing the word ""MOTIVATION"" in white, outlined text. Above the arrow, a green checkmark symbol is placed, indicating the correct direction. The arrow flows cleanly and directly between the two shapes with no obstruction. The overall aesthetic is simple and clean, with a focus on the symbolic representation of the relationship between repetition and motivation.",
,"A cartoon brain with small arms and legs, expressive face on the frontal lobe, looking eagerly toward a trigger or cue. Heart eyes or desire indicators show the brain wants the routine. Simple cartoon style with clean lines.","A cartoon brain with red heart-shaped eyes and a smiling mouth stands on the left side of the frame. The brain is outlined in gray and has a textured gray smile. It has two legs and two arms. To the right of the brain, there is a gray square with a right-pointing arrow inside it. Above the square, the word ""Cue"" is written in gray text. Three short gray lines are positioned to the left of the square, suggesting a signal or prompt. The background is a solid dark gray.",
,A monk figure in simple robes with shaved head and peaceful expression sitting in meditation pose. Brain scanning equipment creates images of brain activity. Scientists observe the data. Simple cartoon style with clean lines.,"A minimalist illustration on a black background depicts two figures. On the left, a person in a monk's robe, with a yellow and maroon color scheme and a beaded necklace, sits in a meditative pose. They wear a cap with electrodes, suggesting a scientific experiment or study. A white line extends from the cap to the figure on the right. This figure, on the right, is dressed in a lab coat over a maroon shirt with a yellow ""H"" emblem. They wear glasses and hold a clipboard, appearing to take notes or conduct an observation. The style is simple, with thick white outlines and flat colors, resembling a cartoon or infographic.",
,Two identical motivation meters side by side showing the same level. Motivation was equal. Simple cartoon style with clean lines.,"Two identical ""Motivation"" gauges are displayed side-by-side against a black background. Each gauge features a semicircular dial with three colored segments: red on the left, yellow in the middle, and teal on the right. A gray needle points towards the teal segment on both gauges, indicating a high level of motivation. Below the dial, the word ""MOTIVATION"" is written in white, bold, sans-serif font within a gray rectangular box. The overall aesthetic is clean and minimalist, with a subtle 3D effect on the gauges.",
,Two medals shown side by side: gold and silver. A tiny gap labeled '1/500 second' separates them. The difference is microscopic. Simple cartoon style with clean lines.,"A minimalist illustration on a black background features two medals hanging from white ribbons. The medal on the left is gold with a yellow circle containing the number ""1"" in black outline. Below it, the word ""Gold"" is written in white. The medal on the right is silver with a gray circle containing the number ""2"" in black outline. Below it, the word ""Silver"" is written in white. Between the two medals, the text ""1/500 second"" is displayed with a double-headed arrow pointing left and right, indicating a time difference. The medals are depicted in a clean, outlined style with subtle hatching textures within the colored circles.",
,Standing cartoon person shown transforming with a checkmark beside 'YOU CHANGED'. The person evolved to match the challenge. Simple cartoon style with clean lines.,"On a black background, a cartoon person centered in the frame in a dramatic ascending pose: body arched gracefully backward, head tilted up toward the sky, arms relaxed and slightly outstretched to the sides, legs trailing below as if floating or being lifted upward. The person hovers slightly off the ground with a peaceful transcendent expression.Sparkles and small glowing particles scatter around the figure in all directions. On the right side, the text 'YOU CHANGED' in white with a green checkmark beside it. Simple cartoon style with clean lines.",
Wildly different results,"Split scene with thick white vertical line in center. Left side red: standing cartoon person lying on a couch, remote control in hand, an empty workout calendar with X marks on the wall behind them, '62% FAIL' in red text above. Right side green: standing cartoon person in workout clothes doing a bicep curl with a dumbbell, a workout calendar filled with checkmarks on the wall behind them, '91% SUCCESS' in green text above. Black background. Simple cartoon style with clean lines","Split scene with thick white vertical line in center. Left side: standing cartoon person lying on a couch, remote control in hand, an empty workout calendar with X marks on the wall behind them, '62% FAIL' in red text above. Right side: standing cartoon person in workout clothes doing a bicep curl with a dumbbell, a workout calendar filled with green checkmarks on the wall behind them, '91% SUCCESS' in green text above. Black background. Simple cartoon style with clean lines",
He took students trying to exercise over Christmas break and divided them into two groups,"The psychologist (bald man with hair on the sides, wearing glasses and a lab coat) stands in the center pointing both arms outward - left arm pointing left, right arm pointing right. Three standing cartoon people in workout clothes walk toward the left following his left hand. Three more standing cartoon people in workout clothes walk toward the right following his right hand. A Christmas wreath hangs on the wall behind him. Black background. Simple cartoon style with clean lines","On a black background, a clipboard in the center showing a list split by a vertical line - 'GROUP 1' on the left, 'GROUP 2' on the right, with three checkboxes under each. A small Christmas wreath in the top right corner. Simple cartoon style with clean lines",
